,datetime1d,wsmx
514,2016-02-28,40.82
515,2016-02-29,35.0
516,2016-03-01,29.14
517,2016-03-02,31.82
518,2016-03-03,30.69
519,2016-03-04,30.91
520,2016-03-05,27.38
521,2016-03-06,27.66
522,2016-03-07,28.96
523,2016-03-08,25.86
524,2016-03-09,27.24
525,2016-03-10,29.35
526,2016-03-11,30.55
527,2016-03-12,29.64
528,2016-03-13,29.21
529,2016-03-14,26.67
530,2016-03-15,26.21
531,2016-03-16,32.56
532,2016-03-17,28.54
533,2016-03-18,31.82
534,2016-03-19,28.33
535,2016-03-20,24.66
536,2016-03-21,29.92
537,2016-03-22,33.8
538,2016-03-23,35.35
539,2016-03-24,34.86
540,2016-03-25,30.31
541,2016-03-26,30.59
542,2016-03-27,28.72
543,2016-03-28,28.47
544,2016-03-29,29.46
545,2016-03-30,32.03
546,2016-03-31,26.39
547,2016-04-01,24.17
548,2016-04-02,26.25
549,2016-04-03,23.32
550,2016-04-04,25.68
551,2016-04-05,32.18
552,2016-04-06,31.72
553,2016-04-07,35.28
554,2016-04-08,34.75
555,2016-04-09,36.34
556,2016-04-10,40.36
557,2016-04-11,35.7
558,2016-04-12,33.13
559,2016-04-13,29.35
560,2016-04-14,27.66
561,2016-04-15,30.59
562,2016-04-16,28.05
563,2016-04-17,25.72
564,2016-04-18,27.59
565,2016-04-19,33.76
566,2016-04-20,24.41
567,2016-04-21,28.08
568,2016-04-22,25.01
569,2016-04-23,23.5
570,2016-04-24,20.71
571,2016-04-25,13.76
572,2016-04-26,26.78
573,2016-04-27,20.29
574,2016-04-28,23.99
575,2016-04-29,26.88
576,2016-04-30,21.8
577,2016-05-01,21.49
578,2016-05-02,26.18
579,2016-05-03,22.26
580,2016-05-04,26.25
581,2016-05-05,25.19
582,2016-05-06,20.25
583,2016-05-07,21.59
584,2016-05-08,25.86
585,2016-05-09,25.61
586,2016-05-10,24.7
587,2016-05-11,19.05
588,2016-05-12,25.51
589,2016-05-13,23.18
590,2016-05-14,26.67
591,2016-05-15,19.02
592,2016-05-16,22.19
593,2016-05-17,18.24
594,2016-05-18,19.55
595,2016-05-19,16.58
596,2016-05-20,23.04
597,2016-05-21,25.47
598,2016-05-22,21.24
599,2016-05-23,23.74
600,2016-05-24,24.1
601,2016-05-25,25.93
602,2016-05-26,15.49
603,2016-05-27,24.03
604,2016-05-28,15.88
605,2016-05-29,14.78
606,2016-05-30,19.93
607,2016-05-31,13.48
608,2016-06-01,28.47
609,2016-06-02,19.4
610,2016-06-03,20.46
611,2016-06-04,16.19
612,2016-06-05,16.26
